sentence,label
劲舞的情缘，虽然没有像实现那样，但是我们的那颗炽热的心和现实也没什么区别，虽然很多原因我们把情缘点了，但是我们至少在那一刻我们真心在一起过，试着尝试着属于我们2个人的爱❤️～没有谁失去了谁，只有更爱谁～,positive
虽然跟节奏大师有点重，但还是保留了很多端游的！支持炫舞哇,positive
很棒很棒很不错,positive
真的很棒的我换了手机之后以前的号就没了换了系统但我还是很喜欢这款游戏的,positive
唯一的不足就是，不同区的人都不能互相加好友，而且在进入跳舞状态的时候，周围都是漆黑的。希望开发者能采纳我的反馈。,positive
这游戏很不错，不过有一点，就是唱歌哪里歌很少，希望改进,positive
"说实话，对手游有些略有失望。,作为一个端游的老玩家（虽然玩的挺少……），我还记得当时刚开始玩炫舞的那种喜悦。当时第一次玩最喜欢玩的就是传统模式，玩了一整晚。,然而……手游……,服务器爆炸先不说了（这个还能理解）,挤了好久进去以后，，，人设果然还是好丑，，然后新手引到星动模式？？我特喵的最期待是传统模式！！好吧，我先做完新手引导吧……随后的什么弹珠模式，泡泡模式，感觉都和星动一个套路，且都没挑战性。游戏自带的音乐也感觉有点年代感，，以前或许挺喜欢的，现在吧……作为一个00后可能比较喜欢嗨一点的吧，，，,然后就是氪金……开服福利啥的领完了居然还买不了一件衣服……表示氪不起氪不起。,再就是匹配的禁歌这一规定，，有好多好听的歌被那些没听过的人禁了感觉是真的不爽啊……,最后体验了一下休闲大厅里的传统模式……果然还是那种感觉，，，很有挑战性的，，或许一开始就让我玩传统模式我也就没这多吐槽的了吧……,体验完了这些，我退出了游戏。。目前给我感觉就是这些。当然以上都是个人观点，不喜欢的还望勿喷，有讨论的欢迎在下面留言，评论。谢谢大家！",negative
更新以后蓦羽红尘染黑的真的很难看啊！拜托下次更新改回去！真的巨丑！,negative
"这游戏还是不错的，都在吐槽曝气，其实曝气也是一种竞技，看时机和对这首歌的爆分段的把握，竞技性更强，技能的多样化也给了不同的选择，虽然有时因为曝气被反超很气，也只是气自己没掌握好时机。游戏服装还是挺漂亮的，0氪也能获取不少，礼盒什么的非必要，不予置评。我只是听歌来的,建议的话：舞蹈可以多点，还有就是微信为啥就俩区，想换个角色都不行了，我安卓一个不玩了，苹果那个想变性都不行了尴尬一直在等",positive
之前内测借别人的号玩过一段时间，今天玩的不多。说说今天的感受吧，内容跟内测几乎一样，但是卡的亚批啊兄弟，真的太卡了，好不容易让我朋友过来玩，完事了她现在又跑去玩电脑的了。衣服的话跟内测好像也都一样吧，真的有点太少了，希望后期多出一点衣服。总体还行，毕竟第一天，我还算能理解吧,positive
今天啥时候恢复能玩,positive
进游戏第一感觉卡，乱。有时候会突然异常发热，狂掉电。一区总是人数过多，玩着玩着掉线🙃😶😒,negative
還沒填招待的玩家可以填這個8d632LQD,positive
给您五星...真的这游戏没人喜欢爆气...求求您取缔了吧...技能那些也可以不要这种游戏难道技术不是最关键的吗...就跟pc端一样来比perfect和combo数吧....不管是因为爆气赢了还是输了都不开心,positive
游戏太多坑了，必须不停冲钱才可以，坑太多了，衣服真贵，比现实的名牌还贵，是什么衣服啊！套路也多,negative
"。。。。。。。无语O__O""…",negative
超级期待以前特别爱pc端,positive
玩的时间长了游戏就丢判定，泡泡模式不能两点同时按，并且松了一点的一瞬间按另一个地方也判定miss，每次玩几盘就要重启，重启以后又掉帧。再说说游戏本身，舞蹈看着就那几个片段在那边循环，看着很别扭，建模应该是照搬吧，觉得有点落后；排位三天玩到御音师，感觉就是比爆气时机，这就很没劲了，你比别人多打那么多perfect还不是被背谱的吊打，这技能感觉除了爆气，别的也不可能赢，希望降低爆气的重要性,negative
应用宝下好了，但是进不去，流量下的，1个g，别让我觉得不值。,negative
男生玩着游戏很奇怪QQ音乐也导不进去很多歌也没有,negative
跳的舞都是错的根本，对不上节奏，玩极乐净土的时候看得我一脸懵，主界面卡的动都动不了,negative
以前玩过，然后不知道什么原因没有了，现在又出来了,positive
啥时候给个资格啊！,positive
"1.打歌面板不正经，看上去更注重模型制作而忽视了音游成分，而且特别卡！,2.这压根算不上音游，干脆改名为创房聊天社交游戏吧。,3.我知道名字就叫QQ炫舞，不可能不带跳舞的成分，但这舞蹈真的很尬好不好？,4.一如既往的腾讯。",negative
"我游戏重新开始？？？前两天玩我都十几级了还冲了三十,今天上游戏直接给我新手引导？？",negative
明天就出啦，开心开心开心开心开心！！！,positive
挺好的节奏也还是比较合适的，电视那个自定义脸型的嘴唇那一项，放大看细节没问题，一到游戏了，一来特写就可以看到有一条白线很难受，求优化。。,positive
没有什么理由。搞个比赛都骗人的工作室。给腾讯抹黑的工作室。,negative
"个人绝对还不错偶尔闲的时候玩玩还是很开心的,但是[中奖率是真的感人]非洲人的凝视",positive
好玩,positive
等好久了,positive
不错的游戏,positive
很休闲，皮肤也很漂亮，可以在大厅一边陪老婆一边玩。,positive
为什么创建不了角色,positive
︶ㄣ、硪湜塟じòぴé家镞驊吇，㈡０18即將歸徠ベΔ,positive
这个游戏好好玩我喜欢,positive
感觉666，已经玩到御音师，正在冲击天使,positive
为了美美的妹妹,positive
"告诉我，舞步设计师是谁，劳资上去就是98k，这么辣眼睛的舞步也能跳出来给玩家看，简直就是遭罪，能别尬舞吗，看着脑阔疼，你给我来个黑屏也好，QQ炫舞我只看多了炫根本没看到舞，赶紧拉回家去重新设计舞步,求求你别再跳了，我忍不住退游，要不是回忆，情怀，我真的会退游",negative
抄OSU，可是mug让人沉迷。演出美术太挫了,negative
看到角色的建模就不想玩了一个换装占一半的游戏建模还不如飞车,negative
在哪里下测试服啊,positive
有BIGBANG的歌,positive
希望这一次我可以创建人物,negative
下来看看。我是做网易那个劲舞时代的模型🐶😂,negative
期待呢，,positive
哎，心累，下载费劲，安装不了，游戏卡疯，希望网易好好整顿这游戏，别毁经典,negative
我觉得应该把泡泡模式删掉，这模式不适合手游，然后人物跳舞的动作生动点，光效也要优化一下。,negative
关键是，，，不是一个区不能一起玩,negative
直接把回忆拉到大学时期…,positive
只要是高达的游戏，就是一坨翔我也会把它里里外外尝个遍,positive
为啥不能玩,negative
什么时候更新呀。好久没玩了。超级期待的！(๑•̀ㅁ•́ฅ),positive
作为端游200级玩家[虽然上一次玩还是12年]愤怒的发问！为什么还没有发正服！！,positive
不用等了已经说了3月14号早上11点开服洗洗睡早点起床吧,positive
凉凉预定百分百是要扑街的,negative
网络优化太差,negative
好,positive
是这款游戏并不是很难，不仅可以放松娱乐，还可以锻炼我们手指的灵活度，以及反应能力,positive
看见66这么萌直接就给五星,positive
什么时候才能公测，不太明白内测资格要怎么得，之前已经预约过了，也填了手机号，怎么就没有短信临幸我的手机呢？早早的下载好APP了，可惜就是没资格进不去。。。痛心。。。求内测资格呀，游戏也预约了，礼包都领了，不给内测资格什么鬼，礼包过期时间5月，不知道这礼包有什么用，目测5月出不了了吧，玩不上空有礼包也没用。,positive
氪死了，腾讯果然就这尿性,negative
"这个游戏还可以吧，不用氪那么多金，高档的衣服有些还是比较容易拿到的，只是商城上用钻石购买的套装有点贵（对于我们少氪金的玩家来说）还有就是匹配排位的，为什么我一个音乐家段位会匹配到御音师。结算排位不必要直接掉一个段吧，星动模式那个圆圈希望加大点，这样会好点到，希望这个游戏越做越好。,（最好以后都不要变成要重度氪金的游戏）😁",negative
还是蛮好玩的哈哈哈,positive
"等级高的好心人告诉我里面有没有韩语歌,有没有张艺兴的sheep啊",negative
"4分给端游情怀。,但是你这移植真的让人很失望了。人物模型还没有隔壁飞车做得好，真心的。",positive
第一,positive
这款游戏很棒，画质优秀，体验优秀，更新也特别勤，但唯一的缺点是太大了，对于我这种老iPad16GB的内存伤不起啊。,negative
真的垃圾。排位赛老是掉线。人配好了就开始掉线。重登就显示还在对局中。然后就掉段。躲猫猫也是这样。老掉线。本人网络没问题。玩其他游戏都不卡。一玩这款游戏就掉掉掉。每天至少掉三次。对这游戏没兴趣了。浪费时间,negative
没意见，快点发布，我要玩,positive
我喜欢爆气反超的感觉，有时候会一开始不用力，等到高潮爆气一波带走，漂亮！,positive
卡点问题就不说了，发现更难受的是这个小圆圈按键区域…稍微偏一点就miss了能不能把区域扩一点,positive
端游qq炫舞08年封测就开始玩了，那年25，现在儿子都是小学生了。,positive
弱弱的问下有没电版的节奏模式？我以前华南2出名的键盘侠,positive
太卡，老是登录不上,negative
随便下载玩了一下真的超好玩的。稀饭稀饭。网易游戏大多都不错呦。感谢,positive
光标完全对不上节拍，而且点击光标的声音盖住了BGM，更恐怖的是我完全没感觉到这是一个主打舞蹈的游戏，人物跳的舞蹈根本没有办法分心去看，全程盯着光标……,negative
游戏品质不错，画面很友好曲库也足够丰富，但为何排位赛没有传统模式？希望官方考虑下，尽快把传统模式也加上排位赛。,positive
"智障新手指导扣2分。,8012年了还做出这种手游扣1分。,费解.jpg",negative
有男孩子微信区三生三世的吗,positive
"1.各区不互通，怎样和其他朋友一起玩？排行榜各区分开就好了，休闲竞技游戏有必要隔绝玩家？,2.人物模型丑，不求多好，跟隔壁飞车差不多就满足了。,3.跳舞动作敷衍，一首歌曲中间有好几个脸部特写镜头、每个镜头好几秒，想混时间减少人物动作别这样恶心玩家好吗？,4.端游连P的特效被取消，考虑低端机可以加个低特效设置，特效不认真做，却对外宣传高还原度？,5.每首歌结束的脸部特写真心吓人。",negative
其他的不说，不能调节速度很麻烦…内存还这么大，不尽快解决的话，我就卸了……,negative
。。。。感觉到了后期又是站着茅坑不拉屎挂机的多。,negative
试玩了一天，画面和音效感真的不错，但是能否优化一下按键位置呢，我5.2英寸的屏幕玩起来都很费劲，尤其是星动模式，真的难受，而且屏幕旋转完全没法关，不知道是机型的原因还是什么，玩着玩着不小心一动，屏幕自动旋转过去了，然后。。。。。。。。，说实话游戏是不错，就是后期优化真的应该好好优化一下，尤其是按键和屏幕旋转问题,negative
"当时上初二的时候就开始完端游，整天沉迷炫舞无法自拔，结识了一帮朋友目前都生娃了(⁎⁍̴̛ᴗ⁍̴̛⁎)了解到手游还是原班人马做的，感觉很开心。登录游戏，bgm都是那种熟悉的""非主流""味道，不是贬义，现在我大二，希望官方大大们越做越好！另外！我也是蝶恋的！！！！",positive
挺好玩的，只是感觉服装有点少，还不知道之后有没有宠物呢,positive
不好玩，刚进去，键都看不清，,negative
"作为音游来说……可以说是不合格的，最重要的判定方面简直是个迷。,其他有,建模粗糙,动作僵硬,舞步尴尬,打击感弱,字体，对，字体很不搭,渲染太差",negative
挺不错的,positive
你体会啊1模糊回力车1你牛骨贴给力丢回推个红牛毁灭你提挺低的1了呵呵T1提提你丢牛回了河滨糊涂得力,positive
玩了一会尴尬癌都要犯了,negative
活动广告太多，向左右滑的键存在卡顿，服装人物也还是十年前流行的大眼睛大翅膀。,negative
"一共三种模式，竞技场很少降星，可玩性还是挺高的。,可是，衣服真的好少！微氪金党心中很痛！,社区钓鱼藏宝图什么的也还可以",negative
好好好好好,positive
"3分给情怀，2分给游戏,08年开始玩的炫舞，时隔10年又出了手游版其实还是蛮感触的。游戏犹在，身边人却都换了一波又一波，不过还是希望能在游戏里遇见她们,说回游戏吧，日系画风还是蛮亮眼的，除此以外游戏大厅以及室内陈设都很精美，另外还有捏脸、服装等等，对于颜控来说好感度瞬间暴涨啊有木有，鹅厂的美术真的可以跟猪厂媲美啊。,抛开玩法来说整体有点像QQ飞车",positive
测试的时候，衣服都比较便宜，正式就不知道了，期待衣服很便宜,positive
希望，快点出来不要像QQ飞车那样半年才出来,positive
明明服务器没有爆满，缺一直无法进入,negative
期待,positive
还行吧，跟端游比有点距离感,positive
在周活动中都准备好了但是房主就是不开始，希望能自动开始,positive
只要不氪金，就一直玩下去，玩到这游戏不火为止,positive
重回经典，不错,positive
感觉像是慢速版的节奏大师,negative
这个游戏，不适合学生党，打发时间玩玩还行，衣服抽奖这个太坑，几千块钱可能都集不齐一套衣服，许多人都是上万的充，有钱人就不说了，最怕的是害了学生们。游戏设计的极其不合理，就算是真爱粉，也会被寒心，会离开的，本人就是，再也不玩了，没那么多钱投入虚拟世界，玩不起，再见。,negative
挺好玩啊，不像天美那样坑钱,positive
立绘太丑了,negative
这个游戏太好玩了,positive
还没上线？已经零二了,negative
"童年回忆！端游一百多级不算高的等级，记得影响最深刻的是攒钱买了个情侣座驾跟姐姐一起玩！一直在沙滩上乱飞！,为什么没有预下载啊！明天要外出，流量不够下载怎么办！",positive
进社区之后为什么那么卡，卡的不能玩，而且经常出现服务器人太多登不上，希望能够改进吧,negative
我个人觉得捏脸有待改进，现在无论怎么捏都觉得丑。游戏有时候动作对不上歌曲节奏，操作不太喜欢,negative
还没玩先冒个泡,positive
游戏设计的很好你能不能把内存缩小？每次更新内存就多一点,negative
挺好的还行,positive
想做王的男宠,positive
"如果这是个打歌游戏，我能给它四个星，但这是个炫舞游戏，抱歉两星最多不能再多了。,跳舞的动作和画面实在是太尴尬太无聊，真是忍不下去，恶心到我玩了一会儿就卸了，最尴尬的就是那个showtime……,尼玛，你们制作的时候没觉得尴尬么？就只会飞吻摆pose，那么这游戏为什么要叫炫舞？,体验还不如原版炫舞呢，都不能说差一点两点，而是根本没法比（虽说原版炫舞我也不是很喜欢，但至少能玩下去）,后来我一想，这游戏可能是专门为小孩子设计的，根本就不是给我这个年龄段的人玩的，我就乖乖卸载了，太尬了，真看不下去",negative
氪金这么多，但是能不能不要利用自己的bug删我们之前已经买了的服饰和材料？金币就给了我100？之前的大bug怎么没有见你们封号这么勤快呢？游戏开局卡，排位赛判定也是醉，还不如不要更新，太难打。十局有一局没有音乐的，还玩什么呀？最新的盒子抽了500，pi都没有！！你游666,negative
希望舞蹈更多，不是无限重复那几个动作，必竟是炫舞，而不是炫歌,positive
游戏还不错,positive
"明明是一个音乐游戏，却强制奇迹卵卵。。。。,什么评选赛。。。什么服装收集度。。。什么染色。。。什么进化。。。什么抽阁。。。这明明就是奇迹卵卵吧。。。有的衣服还直接照搬奇迹卵卵过来。。。我也没说我反对出衣服，而且我也比较喜欢游戏里有漂亮的衣服，但是，能不能有点新意?不要照搬其他游戏的模式？,建模不大气，满满的小学生卡通风格。。能看得过去，但却很廉价。。。闯关的时候看那人物扭来扭去。。。简直尬的一逼。。。配音也是尬的一逼。。。那个66的声音是什么鬼?_?是什么鬼？是什么鬼？,毕竟这游戏本质是音游啊，能不能做点实在的音游该有的东西？至少先保证节拍对上啊。。。一个音游没有节奏感。。。这就很失败了。,再有一点就是，我也不喜欢爆气，非常非常不喜欢。明明刚开始就我分最高，后来对手开了爆气，我就追不上来了。即使我后面也开了爆气，也还是追不上来。,嗯。。。大概也就比较喜欢捏脸了，可是捏脸还穿模。。这又是什么鬼。。。眉毛盖在发型上面？emmmmm。。。。,同样是端游玩家，我不谈情怀，只说实话，在手机版QQ炫舞里，我几乎看不到端游的质量。念在不怎么氪金和玩法多，给个四星是极限了。",positive
炫舞越来越尊重用户体验了。不断的更新，越来越好。是我玩过的游戏最耐玩的。,positive
奔着天依来的,positive
看了标题才知道，已经10年了，终于明白欧阳娜娜，你已经走了十年了~~之所以会这么吸引大家的注意，就是这个游戏也10年了~~~值得纪念的游戏,positive
内测玩家报道，嘿嘿嘿，除了吐槽安装包太大然后没了！手机渣的伤不起啊！,positive
这款换装游戏还要跳舞，真难啊,negative
因违反评价条例规定被折叠,negative
不是同一大区不能玩瞬间不想玩了！！！,negative
好玩,positive
"建模丑节奏不准游戏卡顿←做的什么鬼游戏？,早上提醒我发了钻石十连抽点进去邮箱里什么都没有骗鬼呢？,已卸",negative
圈钱可以我们也充那为什么一分钱没充的每次都能白嫖到好东西我们这些充钱却什么都没有？？,negative
挺好的，真的目前来说我能接受的舞蹈类音游，捏脸这点很好，但不是很自由，大家都差不多，衣服一般般不是特别好看，别的暂时没有，不卡。,positive
还没有玩，不知道怎么,positive
"作为十年老IP，不得不说QQ炫舞的氪金还是相当平民的。,一般音乐手游的氪金，有三大坑——音乐、体力值、时装。,音乐收费主要就是曲包收费了，反正你想多玩新歌，就得花钱，再坑一点的连试听都木有，买完之后简直一脸泪。炫舞在这块做得挺不错，音乐免费，而且可以直接从QQ音乐里面导进来，不管你的口味多刁钻，只要QQ音乐曲库里有，炫舞里都可以免费体验；,体力值这个就不说了，主流手游都有，虽然可以延长游戏寿命，缩短氪金大神和普通玩家的差距，但对于音游这种需要大量练习的游戏品类来说，这体验就非常坑爹了。QQ炫舞手游取消了体力值，想怎么练就怎么练，这就相当赞了；,最后是时装，QQ炫舞里面的氪金途径主要体现在这里，不过任务和活动也会送不少时装，非外貌协会人士零氪神马的也不是不可以。,作为十年国民IP，讲真，挖再大的坑其实不怕没人来买单，但QQ炫舞的处理方式却显得非常克制，看得出项目组还是想做一款高品质的细水长流的游戏。,为炫舞项目组的良心点个赞！",positive
刚玩还行越玩越气各种BUG衣服丑太非酋评分问题延迟键问题排位算分问题,negative
辣鸡炫舞，上次bug骗我们说回档，其实根本没有，我上了一个朋友的号，发现那次bug得到的所有东西全部还在，骗子，0分，辣鸡炫舞，辣鸡官方,negative
啥时候出啊,positive
"今天下载的人很多，可以说超多，服务器被挤爆，我也掉线和登录不上挺多次的。,其实吧，对于腾讯的这个游戏没玩到手之前我也是有期待的，之前有宣传的捏脸功能也还是不错的，不过对于音乐这方面的确是弄得不太好，我觉得可以说是社交休闲大于音乐的，对于一些比较注重音乐节奏还有精美的人我觉得这个游戏是不适合玩的，可以说这个游戏比较注重的是社交和娱乐还有竞技排名之类的，反正就是一股腾讯的气息，我今天玩了大概有两三个小时吧，我用平板玩的，不知道就玩这个游戏卡的要死，我觉得游戏还需要很大的优化。,一星给儿时的玩乐一星给加入了捏脸功能还有挺多模式的结合，还有一星给工作人员鼓励你们能做出比较好的优化。",negative
